22/02/2022 21:20:01, DPS310, P, 99172.30
22/02/2022 21:20:02, DPS310, P, 99172.50
22/02/2022 21:20:03, DPS310, P, 99172.31
22/02/2022 21:20:03, DPS310, P, 99172.25
22/02/2022 21:20:03, DPS310, P, 99172.55
22/02/2022 21:20:04, DPS310, P, 99172.57
22/02/2022 21:20:05, DPS310, P, 99172.53
22/02/2022 21:20:05, DPS310, P, 99172.67
22/02/2022 21:20:05, DPS310, P, 99172.66
22/02/2022 21:20:06, DPS310, P, 99172.74
22/02/2022 21:20:06, DPS310, P, 99172.81
22/02/2022 21:20:07, DPS310, P, 99173.00
22/02/2022 21:20:08, DPS310, P, 99172.91
22/02/2022 21:20:08, DPS310, P, 99172.94
22/02/2022 21:20:08, DPS310, P, 99173.01
22/02/2022 21:20:09, DPS310, P, 99172.94
22/02/2022 21:20:10, DPS310, P, 99172.92
22/02/2022 21:20:10, DPS310, P, 99172.88
22/02/2022 21:21:45, DPS310, P, 99175.73
22/02/2022 21:21:45, DPS310, P, 99175.61
22/02/2022 21:21:45, DPS310, P, 99175.32
22/02/2022 21:21:45, DPS310, P, 99175.25
22/02/2022 21:21:46, DPS310, P, 99175.40
22/02/2022 21:21:46, DPS310, P, 99175.23
22/02/2022 21:21:46, DPS310, P, 99175.42
22/02/2022 21:21:46, DPS310, P, 99175.31
22/02/2022 21:21:46, DPS310, P, 99175.30
22/02/2022 21:21:47, DPS310, P, 99175.37
22/02/2022 21:21:48, DPS310, P, 99175.25
22/02/2022 21:21:48, DPS310, P, 99175.17
22/02/2022 21:21:49, DPS310, P, 99175.25
22/02/2022 21:21:49, DPS310, P, 99175.14
22/02/2022 21:21:49, DPS310, P, 99175.12
22/02/2022 21:21:50, DPS310, P, 99175.12
22/02/2022 21:21:50, DPS310, P, 99175.06
22/02/2022 21:21:51, DPS310, P, 99174.99
22/02/2022 21:21:51, DPS310, P, 99174.92
22/02/2022 21:21:52, DPS310, P, 99174.87
