25/02/2022 09:44:34, OPT3001, L, 134.52
25/02/2022 09:44:35, OPT3001, L, 135.48
25/02/2022 09:44:36, OPT3001, L, 136.44
25/02/2022 09:44:37, OPT3001, L, 136.12
25/02/2022 09:44:38, OPT3001, L, 137.08
25/02/2022 09:44:39, OPT3001, L, 137.08
25/02/2022 09:44:40, OPT3001, L, 137.40
25/02/2022 09:44:41, OPT3001, L, 137.72
25/02/2022 09:44:42, OPT3001, L, 138.40
25/02/2022 09:44:43, OPT3001, L, 138.40
25/02/2022 09:44:44, OPT3001, L, 138.72
25/02/2022 09:44:45, OPT3001, L, 139.64
25/02/2022 09:44:46, OPT3001, L, 141.60
25/02/2022 09:44:47, OPT3001, L, 141.60
25/02/2022 09:44:48, OPT3001, L, 142.20
25/02/2022 09:44:49, OPT3001, L, 142.52
25/02/2022 09:44:50, OPT3001, L, 142.88
25/02/2022 09:44:51, OPT3001, L, 143.80
25/02/2022 09:44:52, OPT3001, L, 143.80
25/02/2022 09:44:53, OPT3001, L, 144.44
25/02/2022 09:44:54, OPT3001, L, 145.08
25/02/2022 09:44:55, OPT3001, L, 145.12
25/02/2022 09:44:56, OPT3001, L, 145.76
25/02/2022 09:44:57, OPT3001, L, 145.76
25/02/2022 09:44:58, OPT3001, L, 146.72
25/02/2022 09:44:59, OPT3001, L, 147.68
25/02/2022 09:45:00, OPT3001, L, 148.96
25/02/2022 09:45:01, OPT3001, L, 147.68
25/02/2022 09:45:02, OPT3001, L, 148.96
25/02/2022 09:45:03, OPT3001, L, 150.24
25/02/2022 09:45:04, OPT3001, L, 150.24
25/02/2022 09:45:05, OPT3001, L, 150.56
25/02/2022 09:45:06, OPT3001, L, 150.56
25/02/2022 09:45:07, OPT3001, L, 151.20
25/02/2022 09:45:08, OPT3001, L, 151.20
25/02/2022 09:45:09, OPT3001, L, 151.84
25/02/2022 09:45:10, OPT3001, L, 152.20
25/02/2022 09:45:11, OPT3001, L, 152.84
25/02/2022 09:45:12, OPT3001, L, 154.44
25/02/2022 09:45:13, OPT3001, L, 155.08
25/02/2022 09:45:14, OPT3001, L, 155.72
25/02/2022 09:45:15, OPT3001, L, 154.44
25/02/2022 09:45:16, OPT3001, L, 155.40
25/02/2022 09:45:17, OPT3001, L, 157.00
25/02/2022 09:45:18, OPT3001, L, 158.28
25/02/2022 09:45:19, OPT3001, L, 158.92
25/02/2022 09:45:20, OPT3001, L, 158.92
25/02/2022 09:45:21, OPT3001, L, 160.24
25/02/2022 09:45:22, OPT3001, L, 160.88
25/02/2022 09:45:23, OPT3001, L, 160.56
25/02/2022 09:45:24, OPT3001, L, 161.20
25/02/2022 09:45:25, OPT3001, L, 161.84
25/02/2022 09:45:26, OPT3001, L, 162.16
25/02/2022 09:45:27, OPT3001, L, 162.48
25/02/2022 09:45:28, OPT3001, L, 163.12
25/02/2022 09:45:29, OPT3001, L, 163.44
25/02/2022 09:45:30, OPT3001, L, 164.40
25/02/2022 09:45:31, OPT3001, L, 164.40
25/02/2022 09:45:32, OPT3001, L, 165.36
25/02/2022 09:45:33, OPT3001, L, 165.68
25/02/2022 09:45:34, OPT3001, L, 166.32
25/02/2022 09:45:35, OPT3001, L, 167.36
25/02/2022 09:45:36, OPT3001, L, 167.36
25/02/2022 09:45:37, OPT3001, L, 167.36
25/02/2022 09:45:38, OPT3001, L, 167.68
25/02/2022 09:45:39, OPT3001, L, 168.64
25/02/2022 09:45:40, OPT3001, L, 169.28
25/02/2022 09:45:41, OPT3001, L, 170.24
25/02/2022 09:45:42, OPT3001, L, 171.20
25/02/2022 09:45:43, OPT3001, L, 171.84
25/02/2022 09:45:44, OPT3001, L, 172.16
25/02/2022 09:45:45, OPT3001, L, 172.80
25/02/2022 09:45:46, OPT3001, L, 172.48
25/02/2022 09:45:47, OPT3001, L, 172.80
25/02/2022 09:45:48, OPT3001, L, 172.80
25/02/2022 09:45:49, OPT3001, L, 173.76
25/02/2022 09:45:50, OPT3001, L, 173.44
25/02/2022 09:45:51, OPT3001, L, 173.44
25/02/2022 09:45:52, OPT3001, L, 174.08
25/02/2022 09:45:53, OPT3001, L, 174.40
25/02/2022 09:45:54, OPT3001, L, 174.72
25/02/2022 09:45:55, OPT3001, L, 175.04
25/02/2022 09:45:56, OPT3001, L, 175.04
25/02/2022 09:45:57, OPT3001, L, 175.04
25/02/2022 09:45:58, OPT3001, L, 175.36
25/02/2022 09:45:59, OPT3001, L, 175.68
25/02/2022 09:46:00, OPT3001, L, 176.00
25/02/2022 09:46:01, OPT3001, L, 176.00
25/02/2022 09:46:02, OPT3001, L, 176.64
25/02/2022 09:46:03, OPT3001, L, 176.96
25/02/2022 09:46:04, OPT3001, L, 177.28
25/02/2022 09:46:05, OPT3001, L, 177.28
25/02/2022 09:46:06, OPT3001, L, 177.60
25/02/2022 09:46:07, OPT3001, L, 177.92
25/02/2022 09:46:08, OPT3001, L, 177.92
25/02/2022 09:46:09, OPT3001, L, 177.60
25/02/2022 09:46:10, OPT3001, L, 177.60
25/02/2022 09:46:11, OPT3001, L, 177.60
25/02/2022 09:46:12, OPT3001, L, 178.24
25/02/2022 09:46:13, OPT3001, L, 178.56
